"","lfdn","Age","Sex","Education","Work","EmploymentStatus","Income","Living","State","Religion","ReligiousCaste","PoliticalAffiliation","Vote","trust","V4","V10","Selfplacement","Weight","prompt"
"227",227,54,"male","no education","never","in domestic work",-9,"town","Maharashtra","Hindu","SC (Scheduled Caste/ Dalits)","Left / center left","Congress","moderate trust",3,2,3,0.87,"I am 54 and I am a male. I have a no education. I am in domestic work. My personal income is about -9. I am a Hindu. I live in a town in Maharashtra. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"228",228,37,"female","lower secondary education","never","in domestic work",-9,"town","Maharashtra","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","moderate trust",2,2,6,0.2,"I am 37 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about -9. I am a Hindu. I live in a town in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"230",230,42,"female","upper secondary education","never","in domestic work",15000,"country village","Maharashtra","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","little trust",2,3,7,0.31,"I am 42 and I am a female. I have a upper secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"231",231,30,"male","upper secondary education","currently","in paid work",15000,"town","Maharashtra","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","little trust",-8,3,9,0.66,"I am 30 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"232",232,58,"male","lower secondary education","currently","in paid work",4500,"town","Maharashtra","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",4,2,6,0.27,"I am 58 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a town in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"233",233,36,"male","lower secondary education","currently","in paid work",15000,"town","Maharashtra","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","little trust",-8,5,9,0.45,"I am 36 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"235",235,46,"male","primary education","currently","in paid work",4500,"country village","Maharashtra","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",2,-8,5,0.98,"I am 46 and I am a male. I have a primary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"236",236,53,"male","upper secondary education","currently","in paid work",15000,"country village","Maharashtra","Muslim","Sunni","Left / center left","Congress","moderate trust",3,3,5,0.39,"I am 53 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Muslim. I live in a country village in Maharashtra. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"238",238,50,"male","primary education","currently","in paid work",4500,"country village","Maharashtra","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","little trust",2,4,5,1.67,"I am 50 and I am a male. I have a primary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"239",239,47,"male","no education","currently","in paid work",8000,"a big city","Maharashtra","Hindu","UCH (Upper Caste Hindus)","Left / center left","Congress","moderate trust",3,-8,6,1.47,"I am 47 and I am a male. I have a no education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a a big city in Maharashtra. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
